,Action0_y,Action0_x,Action1_y,Action1_x,Action2_y,Action2_x,Action3_y,Action3_x
137,-1.5204,0.0,-1.5204,0.0,-1.5204,0.0,-1.5204,0.0
138,-1.5162,0.0,-1.5162,0.0,-1.5162,0.0,-1.5162,0.0
139,-1.512,0.0,-1.512,0.0,-1.512,0.0,-1.512,0.0
140,-1.5078,0.0,-1.5078,0.0,-1.5078,0.0,-1.5078,0.0
141,-1.5036,0.0,-1.5036,0.0,-1.5036,0.0,-1.5036,0.0
142,-1.4994,0.0,-1.4994,0.0,-1.4994,0.0,-1.4994,0.0
143,-1.4952,0.0,-1.4952,0.0,-1.4952,0.0,-1.4952,0.0
144,-1.491,0.0,-1.491,0.0,-1.491,0.0,-1.491,0.0
145,-1.4868000000000001,0.0,-1.4868000000000001,0.0,-1.4868000000000001,0.0,-1.4868000000000001,0.0
146,-1.4826000000000001,0.0,-1.4826000000000001,0.0,-1.4826000000000001,0.0,-1.4826000000000001,0.0
147,-1.4784000000000002,0.0,-1.4784000000000002,0.0,-1.4784000000000002,0.0,-1.4784000000000002,0.0
148,-1.4742,0.0,-1.4742,0.0,-1.4742,0.0,-1.4742,0.0
149,-1.47,0.0,-1.47,0.0,-1.47,0.0,-1.47,0.0
150,-1.4658,0.0,-1.4658,0.0,-1.4658,0.0,-1.4658,0.0
151,-1.4616,0.0,-1.4616,0.0,-1.4616,0.0,-1.4616,0.0
152,-1.4574,0.0,-1.4574,0.0,-1.4574,0.0,-1.4574,0.0
153,-1.4532,0.0,-1.4532,0.0,-1.4532,0.0,-1.4532,0.0
154,-1.4489999999999998,0.0,-1.4489999999999998,0.0,-1.4489999999999998,0.0,-1.4489999999999998,0.0
155,-1.4447999999999999,0.0,-1.4447999999999999,0.0,-1.4447999999999999,0.0,-1.4447999999999999,0.0
156,-1.4405999999999999,0.0,-1.4405999999999999,0.0,-1.4405999999999999,0.0,-1.4405999999999999,0.0
157,-1.4364,0.0,-1.4364,0.0,-1.4364,0.0,-1.4364,0.0
158,-1.4322,0.0,-1.4322,0.0,-1.4322,0.0,-1.4322,0.0
159,-1.428,0.0,-1.428,0.0,-1.428,0.0,-1.428,0.0
160,-1.4238,0.0,-1.4238,0.0,-1.4238,0.0,-1.4238,0.0
161,-1.4196,0.0,-1.4196,0.0,-1.4196,0.0,-1.4196,0.0
162,-1.4154,0.0,-1.4154,0.0,-1.4154,0.0,-1.4154,0.0
163,-1.4112,0.0,-1.4112,0.0,-1.4112,0.0,-1.4112,0.0
164,-1.407,0.0,-1.407,0.0,-1.407,0.0,-1.407,0.0
165,-1.4028,0.0,-1.4028,0.0,-1.4028,0.0,-1.4028,0.0
166,-1.3986,0.0,-1.3986,0.0,-1.3986,0.0,-1.3986,0.0
167,-1.3944,0.0,-1.3944,0.0,-1.3944,0.0,-1.3944,0.0
168,-1.3902,0.0,-1.3902,0.0,-1.3902,0.0,-1.3902,0.0
169,-1.3860000000000001,0.0,-1.3860000000000001,0.0,-1.3860000000000001,0.0,-1.3860000000000001,0.0
170,-1.3818000000000001,0.0,-1.3818000000000001,0.0,-1.3818000000000001,0.0,-1.3818000000000001,0.0
171,-1.3776,0.0,-1.3776,0.0,-1.3776,0.0,-1.3776,0.0
172,-1.3734,0.0,-1.3734,0.0,-1.3734,0.0,-1.3734,0.0
173,-1.3692,0.0,-1.3692,0.0,-1.3692,0.0,-1.3692,0.0
174,-1.365,0.0,-1.365,0.0,-1.365,0.0,-1.365,0.0
175,-1.3608,0.0,-1.3608,0.0,-1.3608,0.0,-1.3608,0.0
176,-1.3566,0.0,-1.3566,0.0,-1.3566,0.0,-1.3566,0.0
177,-1.3523999999999998,0.0,-1.3523999999999998,0.0,-1.3523999999999998,0.0,-1.3523999999999998,0.0
178,-1.3481999999999998,0.0,-1.3481999999999998,0.0,-1.3481999999999998,0.0,-1.3481999999999998,0.0
179,-1.3439999999999999,0.0,-1.3439999999999999,0.0,-1.3439999999999999,0.0,-1.3439999999999999,0.0
180,-1.3397999999999999,0.0,-1.3397999999999999,0.0,-1.3397999999999999,0.0,-1.3397999999999999,0.0
181,-1.3356,0.0,-1.3356,0.0,-1.3356,0.0,-1.3356,0.0
182,-1.3314,0.0,-1.3314,0.0,-1.3314,0.0,-1.3314,0.0
183,-1.3272,0.0,-1.3272,0.0,-1.3272,0.0,-1.3272,0.0
184,-1.323,0.0,-1.323,0.0,-1.323,0.0,-1.323,0.0
185,-1.3188,0.0,-1.3188,0.0,-1.3188,0.0,-1.3188,0.0
186,-1.3146,0.0,-1.3146,0.0,-1.3146,0.0,-1.3146,0.0
187,-1.3104,0.0,-1.3104,0.0,-1.3104,0.0,-1.3104,0.0
188,-1.3062,0.0,-1.3062,0.0,-1.3062,0.0,-1.3062,0.0
189,-1.302,0.0,-1.302,0.0,-1.302,0.0,-1.302,0.0
190,-1.2978,0.0,-1.2978,0.0,-1.2978,0.0,-1.2978,0.0
191,-1.2936,0.0,-1.2936,0.0,-1.2936,0.0,-1.2936,0.0
192,-1.2894,0.0,-1.2894,0.0,-1.2894,0.0,-1.2894,0.0
193,-1.2852000000000001,0.0,-1.2852000000000001,0.0,-1.2852000000000001,0.0,-1.2852000000000001,0.0
194,-1.281,0.0,-1.281,0.0,-1.281,0.0,-1.281,0.0
195,-1.2768,0.0,-1.2768,0.0,-1.2768,0.0,-1.2768,0.0
196,-1.2726,0.0,-1.2726,0.0,-1.2726,0.0,-1.2726,0.0
197,-1.2684,0.0,-1.2684,0.0,-1.2684,0.0,-1.2684,0.0
198,-1.2642,0.0,-1.2642,0.0,-1.2642,0.0,-1.2642,0.0
199,-1.26,0.0,-1.26,0.0,-1.26,0.0,-1.26,0.0
200,-1.2557999999999998,0.0,-1.2557999999999998,0.0,-1.2557999999999998,0.0,-1.2557999999999998,0.0
201,-1.2515999999999998,0.0,-1.2515999999999998,0.0,-1.2515999999999998,0.0,-1.2515999999999998,0.0
202,-1.2473999999999998,0.0,-1.2473999999999998,0.0,-1.2473999999999998,0.0,-1.2473999999999998,0.0
